Accession,GenBank_RefSeq,Assembly,SRA_Accession,BioSample,BioProject,Organism_Name,Species,Genus,Family,Genotype,Isolate,Segment,GenBank_Title,Length,Nuc_Completeness,Geo_Location,Country,USA,Host,Tissue_Specimen_Source,Submitters,Organization,Org_location,Publications,Collection_Date,Release_Date,Molecule_type
ON409539.1,GenBank,,,,,Orthohantavirus hantanense,Orthohantavirus hantanense,Orthohantavirus,Hantaviridae,,CUH17-1169 WB,L,"Orthohantavirus hantanense isolate CUH17-1169 WB RNA-dependent RNA polymerase (RdRp) gene, partial cds",366,partial,South Korea,South Korea,,Homo sapiens,blood,"Kim,D.-M.","Chosun University College of Medicine, Department of Internal Medicine",,,2017-11,2023-02-08,ssRNA(-)
ON409540.1,GenBank,,,,,Orthohantavirus hantanense,Orthohantavirus hantanense,Orthohantavirus,Hantaviridae,,CUH14-298 buffy coat,L,"Orthohantavirus hantanense isolate CUH14-298 buffy coat RNA-dependent RNA polymerase (RdRp) gene, partial cds",330,partial,South Korea,South Korea,,Homo sapiens,blood,"Kim,D.-M.","Chosun University College of Medicine, Department of Internal Medicine",,,2014-12,2023-02-08,ssRNA(-)
ON409541.1,GenBank,,,,,Orthohantavirus hantanense,Orthohantavirus hantanense,Orthohantavirus,Hantaviridae,,CUH19-202 WB,L,"Orthohantavirus hantanense isolate CUH19-202 WB RNA-dependent RNA polymerase (RdRp) gene, partial cds",369,partial,South Korea,South Korea,,Homo sapiens,blood,"Kim,D.-M.","Chosun University College of Medicine, Department of Internal Medicine",,,2019-04,2023-02-08,ssRNA(-)
ON409542.1,GenBank,,,,,Orthohantavirus hantanense,Orthohantavirus hantanense,Orthohantavirus,Hantaviridae,,CUH19-224 WB,L,"Orthohantavirus hantanense isolate CUH19-224 WB RNA-dependent RNA polymerase (RdRp) gene, partial cds",348,partial,South Korea,South Korea,,Homo sapiens,blood,"Kim,D.-M.","Chosun University College of Medicine, Department of Internal Medicine",,,2019-05,2023-02-08,ssRNA(-)
ON409543.1,GenBank,,,,,Orthohantavirus hantanense,Orthohantavirus hantanense,Orthohantavirus,Hantaviridae,,CUH19-800 urine,L,"Orthohantavirus hantanense isolate CUH19-800 urine RNA-dependent RNA polymerase (RdRp) gene, partial cds",348,partial,South Korea,South Korea,,Homo sapiens,urine,"Kim,D.-M.","Chosun University College of Medicine, Department of Internal Medicine",,,2019-11,2023-02-08,ssRNA(-)
ON409544.1,GenBank,,,,,Orthohantavirus hantanense,Orthohantavirus hantanense,Orthohantavirus,Hantaviridae,,CUH20-003 WB,L,"Orthohantavirus hantanense isolate CUH20-003 WB RNA-dependent RNA polymerase (RdRp) gene, partial cds",354,partial,South Korea,South Korea,,Homo sapiens,blood,"Kim,D.-M.","Chosun University College of Medicine, Department of Internal Medicine",,,2020-01,2023-02-08,ssRNA(-)
ON409545.1,GenBank,,,,,Orthohantavirus hantanense,Orthohantavirus hantanense,Orthohantavirus,Hantaviridae,,CUH20-521 WB,L,"Orthohantavirus hantanense isolate CUH20-521 WB RNA-dependent RNA polymerase (RdRp) gene, partial cds",342,partial,South Korea,South Korea,,Homo sapiens,blood,"Kim,D.-M.","Chosun University College of Medicine, Department of Internal Medicine",,,2020-06,2023-02-08,ssRNA(-)
ON409546.1,GenBank,,,,,Orthohantavirus hantanense,Orthohantavirus hantanense,Orthohantavirus,Hantaviridae,,CUH21-1167 WB,L,"Orthohantavirus hantanense isolate CUH21-1167 WB RNA-dependent RNA polymerase (RdRp) gene, partial cds",354,partial,South Korea,South Korea,,Homo sapiens,blood,"Kim,D.-M.","Chosun University College of Medicine, Department of Internal Medicine",,,2021-11,2023-02-08,ssRNA(-)
ON409547.1,GenBank,,,,,Orthohantavirus hantanense,Orthohantavirus hantanense,Orthohantavirus,Hantaviridae,,CUH21-1177 WB,L,"Orthohantavirus hantanense isolate CUH21-1177 WB RNA-dependent RNA polymerase (RdRp) gene, partial cds",351,partial,South Korea,South Korea,,Homo sapiens,blood,"Kim,D.-M.","Chosun University College of Medicine, Department of Internal Medicine",,,2021-11,2023-02-08,ssRNA(-)
ON409548.1,GenBank,,,,,Orthohantavirus hantanense,Orthohantavirus hantanense,Orthohantavirus,Hantaviridae,,CUH21-1188 WB,L,"Orthohantavirus hantanense isolate CUH21-1188 WB RNA-dependent RNA polymerase (RdRp) gene, partial cds",348,partial,South Korea,South Korea,,Homo sapiens,blood,"Kim,D.-M.","Chosun University College of Medicine, Department of Internal Medicine",,,2021-12,2023-02-08,ssRNA(-)
ON409549.1,GenBank,,,,,Orthohantavirus hantanense,Orthohantavirus hantanense,Orthohantavirus,Hantaviridae,,CUH21-1210 WB,L,"Orthohantavirus hantanense isolate CUH21-1210 WB RNA-dependent RNA polymerase (RdRp) gene, partial cds",354,partial,South Korea,South Korea,,Homo sapiens,blood,"Kim,D.-M.","Chosun University College of Medicine, Department of Internal Medicine",,,2021-12,2023-02-08,ssRNA(-)
ON409550.1,GenBank,,,,,Orthohantavirus hantanense,Orthohantavirus hantanense,Orthohantavirus,Hantaviridae,,CUH10-284 buffy coat,L,"Orthohantavirus hantanense isolate CUH10-284 buffy coat RNA-dependent RNA polymerase (RdRp) gene, partial cds",342,partial,South Korea,South Korea,,Homo sapiens,blood,"Kim,D.-M.","Chosun University College of Medicine, Department of Internal Medicine",,,2010-11,2023-02-08,ssRNA(-)
OQ129473.1,GenBank,,,,,Orthohantavirus hantanense,Orthohantavirus hantanense,Orthohantavirus,Hantaviridae,,YunL-102B,,"Hantaan orthohantavirus isolate YunL-102B RNA-dependent RNA polymerase gene, partial cds",367,partial,China: Henan,China,,Rattus tanezumi,,"Tian,S.","Guangzhou Medical University, School of Public Health",China,,2021-07,2023-01-28,ssRNA(-)
OQ129474.1,GenBank,,,,,Orthohantavirus hantanense,Orthohantavirus hantanense,Orthohantavirus,Hantaviridae,,118A,,"Hantaan orthohantavirus isolate 118A RNA-dependent RNA polymerase gene, partial cds",377,partial,China: Inner Mongolia,China,,Myospalax psilurus,,"Tian,S.","Guangzhou Medical University, School of Public Health",China,,2021-07,2023-01-28,ssRNA(-)
OQ129475.1,GenBank,,,,,Orthohantavirus hantanense,Orthohantavirus hantanense,Orthohantavirus,Hantaviridae,,33A,,"Hantaan orthohantavirus isolate 33A RNA-dependent RNA polymerase gene, partial cds",378,partial,China: Henan,China,,Apodemus agrarius,,"Tian,S.","Guangzhou Medical University, School of Public Health",China,,2021-07,2023-01-28,ssRNA(-)
OQ129476.1,GenBank,,,,,Orthohantavirus hantanense,Orthohantavirus hantanense,Orthohantavirus,Hantaviridae,,SC-21-152,,"UNVERIFIED: Hantaan orthohantavirus isolate SC-21-152 RNA-dependent RNA polymerase-like gene, partial sequence",393,partial,China: Henan,China,,Mus musculus,,"Tian,S.","Guangzhou Medical University, School of Public Health",China,,2021-07,2023-01-28,ssRNA(-)
OQ129477.1,GenBank,,,,,Orthohantavirus hantanense,Orthohantavirus hantanense,Orthohantavirus,Hantaviridae,,45A,,"UNVERIFIED: Hantaan orthohantavirus isolate 45A RNA-dependent RNA polymerase-like gene, partial sequence",377,partial,China: Henan,China,,Niviventer confucianus,,"Tian,S.","Guangzhou Medical University, School of Public Health",China,,2021-07,2023-01-28,ssRNA(-)
OQ129478.1,GenBank,,,,,Orthohantavirus hantanense,Orthohantavirus hantanense,Orthohantavirus,Hantaviridae,,TC-24,,"Hantaan orthohantavirus isolate TC-24 RNA-dependent RNA polymerase gene, partial cds",392,partial,China: Henan,China,,Rattus tanezumi,,"Tian,S.","Guangzhou Medical University, School of Public Health",China,,2021-07,2023-01-28,ssRNA(-)
OF364387.1,GenBank,,,,,Hantaan orthohantavirus,Orthohantavirus hantanense,Orthohantavirus,Hantaviridae,,,,KR 1020220029898-A/3: SEROLOGICAL DETECTION METHOD USING ANTIGEN OF HTNV,222,partial,,,,,,"Song,J., Cho,S., Park,K.",,,,,2023-01-19,ssRNA(-)
OF364388.1,GenBank,,,,,Hantaan orthohantavirus,Orthohantavirus hantanense,Orthohantavirus,Hantaviridae,,,,KR 1020220029898-A/4: SEROLOGICAL DETECTION METHOD USING ANTIGEN OF HTNV,297,partial,,,,,,"Song,J., Cho,S., Park,K.",,,,,2023-01-19,ssRNA(-)
OF456704.1,GenBank,,,,,Hantaan orthohantavirus,Orthohantavirus hantanense,Orthohantavirus,Hantaviridae,,,,KR 1020220038755-A/5: HANTAVIRUS ANTIGENIC COMPOSITION,1698,partial,,,,,,"Hewson,R., Dowall,S., Kennedy,E., Carroll,M.",,,,,2023-01-19,ssRNA(-)
OF456705.1,GenBank,,,,,Hantaan orthohantavirus,Orthohantavirus hantanense,Orthohantavirus,Hantaviridae,,,,KR 1020220038755-A/6: HANTAVIRUS ANTIGENIC COMPOSITION,1287,partial,,,,,,"Hewson,R., Dowall,S., Kennedy,E., Carroll,M.",,,,,2023-01-19,ssRNA(-)
OF456706.1,GenBank,,,,,Hantaan orthohantavirus,Orthohantavirus hantanense,Orthohantavirus,Hantaviridae,,,,KR 1020220038755-A/8: HANTAVIRUS ANTIGENIC COMPOSITION,1005,partial,,,,,,"Hewson,R., Dowall,S., Kennedy,E., Carroll,M.",,,,,2023-01-19,ssRNA(-)
OF456711.1,GenBank,,,,,Hantaan orthohantavirus,Orthohantavirus hantanense,Orthohantavirus,Hantaviridae,,,,KR 1020220038755-A/18: HANTAVIRUS ANTIGENIC COMPOSITION,237,partial,,,,,,"Hewson,R., Dowall,S., Kennedy,E., Carroll,M.",,,,,2023-01-19,ssRNA(-)
OF456712.1,GenBank,,,,,Hantaan orthohantavirus,Orthohantavirus hantanense,Orthohantavirus,Hantaviridae,,,,KR 1020220038755-A/19: HANTAVIRUS ANTIGENIC COMPOSITION,237,partial,,,,,,"Hewson,R., Dowall,S., Kennedy,E., Carroll,M.",,,,,2023-01-19,ssRNA(-)
OF456713.1,GenBank,,,,,Hantaan orthohantavirus,Orthohantavirus hantanense,Orthohantavirus,Hantaviridae,,,,KR 1020220038755-A/20: HANTAVIRUS ANTIGENIC COMPOSITION,237,partial,,,,,,"Hewson,R., Dowall,S., Kennedy,E., Carroll,M.",,,,,2023-01-19,ssRNA(-)
OF456718.1,GenBank,,,,,Hantaan orthohantavirus,Orthohantavirus hantanense,Orthohantavirus,Hantaviridae,,,,KR 1020220038755-A/25: HANTAVIRUS ANTIGENIC COMPOSITION,45,partial,,,,,,"Hewson,R., Dowall,S., Kennedy,E., Carroll,M.",,,,,2023-01-19,ssRNA(-)
OF456719.1,GenBank,,,,,Hantaan orthohantavirus,Orthohantavirus hantanense,Orthohantavirus,Hantaviridae,,,,KR 1020220038755-A/26: HANTAVIRUS ANTIGENIC COMPOSITION,45,partial,,,,,,"Hewson,R., Dowall,S., Kennedy,E., Carroll,M.",,,,,2023-01-19,ssRNA(-)
OF456720.1,GenBank,,,,,Hantaan orthohantavirus,Orthohantavirus hantanense,Orthohantavirus,Hantaviridae,,,,KR 1020220038755-A/27: HANTAVIRUS ANTIGENIC COMPOSITION,45,partial,,,,,,"Hewson,R., Dowall,S., Kennedy,E., Carroll,M.",,,,,2023-01-19,ssRNA(-)
OK079096.1,GenBank,,,,,Orthohantavirus hantanense,Orthohantavirus hantanense,Orthohantavirus,Hantaviridae,,SH01,S,"Hantaan orthohantavirus isolate SH01 nucleocapsid protein gene, complete cds",1690,partial,China: Jiangsu,China,,Homo sapiens,,"Tan,W., Yue,N.","Huadong Research Institute for Medicine and Biotechnics, Department of Vector Control",China,,2020-12,2022-10-29,ssRNA(-)
OK079097.1,GenBank,,,,,Orthohantavirus hantanense,Orthohantavirus hantanense,Orthohantavirus,Hantaviridae,,SH01,M,"Hantaan orthohantavirus isolate SH01 envelope glycoprotein gene, complete cds",3537,partial,China: Jiangsu,China,,Homo sapiens,,"Tan,W., Yue,N.","Huadong Research Institute for Medicine and Biotechnics, Department of Vector Control",China,,2020-12,2022-10-29,ssRNA(-)
OK079098.1,GenBank,,,,,Orthohantavirus hantanense,Orthohantavirus hantanense,Orthohantavirus,Hantaviridae,,SH01,L,"Hantaan orthohantavirus isolate SH01 RNA-dependent RNA polymerase gene, complete cds",6511,partial,China: Jiangsu,China,,Homo sapiens,,"Tan,W., Yue,N.","Huadong Research Institute for Medicine and Biotechnics, Department of Vector Control",China,,2020-12,2022-10-29,ssRNA(-)
MZ868556.1,GenBank,,,,,Orthohantavirus hantanense,Orthohantavirus hantanense,Orthohantavirus,Hantaviridae,,GAHu67/2020,,"Hantaan orthohantavirus isolate GAHu67/2020 glycoprotein (M) gene, partial cds",352,partial,China,China,,Homo sapiens,,"Liu,S., Gong,T., Li,J., Xiong,Y.","Jiangxi Provincial Center for Disease Control and Prevention, China, Disease Detection",China,,2020-12-11,2022-10-19,ssRNA(-)
MZ868557.1,GenBank,,,,,Orthohantavirus hantanense,Orthohantavirus hantanense,Orthohantavirus,Hantaviridae,,GAHu79/2021,,"Hantaan orthohantavirus isolate GAHu79/2021 glycoprotein (M) gene, partial cds",352,partial,China,China,,Homo sapiens,,"Liu,S., Gong,T., Li,J., Xiong,Y.","Jiangxi Provincial Center for Disease Control and Prevention, China, Disease Detection",China,,2021-01-07,2022-10-19,ssRNA(-)
MZ868558.1,GenBank,,,,,Orthohantavirus hantanense,Orthohantavirus hantanense,Orthohantavirus,Hantaviridae,,GAHu86/2021,,"Hantaan orthohantavirus isolate GAHu86/2021 glycoprotein (M) gene, partial cds",352,partial,China,China,,Homo sapiens,,"Liu,S., Gong,T., Li,J., Xiong,Y.","Jiangxi Provincial Center for Disease Control and Prevention, China, Disease Detection",China,,2021-02-01,2022-10-19,ssRNA(-)
MZ868559.1,GenBank,,,,,Orthohantavirus hantanense,Orthohantavirus hantanense,Orthohantavirus,Hantaviridae,,GAHu88/2021,,"Hantaan orthohantavirus isolate GAHu88/2021 glycoprotein (M) gene, partial cds",352,partial,China,China,,Homo sapiens,,"Liu,S., Gong,T., Li,J., Xiong,Y.","Jiangxi Provincial Center for Disease Control and Prevention, China, Disease Detection",China,,2021-02-07,2022-10-19,ssRNA(-)
MZ868560.1,GenBank,,,,,Orthohantavirus hantanense,Orthohantavirus hantanense,Orthohantavirus,Hantaviridae,,GAHu107/2021,,"Hantaan orthohantavirus isolate GAHu107/2021 glycoprotein (M) gene, partial cds",352,partial,China,China,,Homo sapiens,,"Liu,S., Gong,T., Li,J., Xiong,Y.","Jiangxi Provincial Center for Disease Control and Prevention, China, Disease Detection",China,,2021-05-08,2022-10-19,ssRNA(-)
MZ868561.1,GenBank,,,,,Orthohantavirus hantanense,Orthohantavirus hantanense,Orthohantavirus,Hantaviridae,,GAHu111/2021,,"Hantaan orthohantavirus isolate GAHu111/2021 glycoprotein (M) gene, partial cds",352,partial,China,China,,Homo sapiens,,"Liu,S., Gong,T., Li,J., Xiong,Y.","Jiangxi Provincial Center for Disease Control and Prevention, China, Disease Detection",China,,2021-05-11,2022-10-19,ssRNA(-)
MZ868562.1,GenBank,,,,,Orthohantavirus hantanense,Orthohantavirus hantanense,Orthohantavirus,Hantaviridae,,GAHu112/2021,,"Hantaan orthohantavirus isolate GAHu112/2021 glycoprotein (M) gene, partial cds",352,partial,China,China,,Homo sapiens,,"Liu,S., Gong,T., Li,J., Xiong,Y.","Jiangxi Provincial Center for Disease Control and Prevention, China, Disease Detection",China,,2021-05-11,2022-10-19,ssRNA(-)
MZ868563.1,GenBank,,,,,Orthohantavirus hantanense,Orthohantavirus hantanense,Orthohantavirus,Hantaviridae,,GAHu113/2021,,"Hantaan orthohantavirus isolate GAHu113/2021 glycoprotein (M) gene, partial cds",352,partial,China,China,,Homo sapiens,,"Liu,S., Gong,T., Li,J., Xiong,Y.","Jiangxi Provincial Center for Disease Control and Prevention, China, Disease Detection",China,,2021-05-13,2022-10-19,ssRNA(-)
MZ868564.1,GenBank,,,,,Orthohantavirus hantanense,Orthohantavirus hantanense,Orthohantavirus,Hantaviridae,,GAHu114/2021,,"Hantaan orthohantavirus isolate GAHu114/2021 glycoprotein (M) gene, partial cds",352,partial,China,China,,Homo sapiens,,"Liu,S., Gong,T., Li,J., Xiong,Y.","Jiangxi Provincial Center for Disease Control and Prevention, China, Disease Detection",China,,2021-05-16,2022-10-19,ssRNA(-)
MZ868565.1,GenBank,,,,,Orthohantavirus hantanense,Orthohantavirus hantanense,Orthohantavirus,Hantaviridae,,GAHu118/2021,,"Hantaan orthohantavirus isolate GAHu118/2021 glycoprotein (M) gene, partial cds",352,partial,China,China,,Homo sapiens,,"Liu,S., Gong,T., Li,J., Xiong,Y.","Jiangxi Provincial Center for Disease Control and Prevention, China, Disease Detection",China,,2021-05-28,2022-10-19,ssRNA(-)
MZ868566.1,GenBank,,,,,Orthohantavirus hantanense,Orthohantavirus hantanense,Orthohantavirus,Hantaviridae,,GAHu135/2021,,"Hantaan orthohantavirus isolate GAHu135/2021 glycoprotein (M) gene, partial cds",352,partial,China,China,,Homo sapiens,,"Liu,S., Gong,T., Li,J., Xiong,Y.","Jiangxi Provincial Center for Disease Control and Prevention, China, Disease Detection",China,,2021-06-19,2022-10-19,ssRNA(-)
MZ868567.1,GenBank,,,,,Orthohantavirus hantanense,Orthohantavirus hantanense,Orthohantavirus,Hantaviridae,,GAHu142/2021,,"Hantaan orthohantavirus isolate GAHu142/2021 glycoprotein (M) gene, partial cds",352,partial,China,China,,Homo sapiens,,"Liu,S., Gong,T., Li,J., Xiong,Y.","Jiangxi Provincial Center for Disease Control and Prevention, China, Disease Detection",China,,2021-07-06,2022-10-19,ssRNA(-)
MZ061870.1,GenBank,,,,,Orthohantavirus hantanense,Orthohantavirus hantanense,Orthohantavirus,Hantaviridae,,AYW92/2017,,"Hantaan orthohantavirus strain AYW92/2017 nucleocapsid protein (S) gene, complete cds",1290,partial,China,China,,Apodemus agrarius,,"Liu,S., Gong,T., Xiong,Y.","Jiangxi Provincial Center for Disease Control and Prevention, Disease Detection",China,,2017-10-18,2022-09-14,ssRNA(-)
MZ061871.1,GenBank,,,,,Orthohantavirus hantanense,Orthohantavirus hantanense,Orthohantavirus,Hantaviridae,,AYW14/2018,,"Hantaan orthohantavirus strain AYW14/2018 nucleocapsid protein (S) gene, complete cds",1290,partial,China,China,,Apodemus agrarius,,"Liu,S., Gong,T., Xiong,Y.","Jiangxi Provincial Center for Disease Control and Prevention, Disease Detection",China,,2018-05-14,2022-09-14,ssRNA(-)
MZ061872.1,GenBank,,,,,Orthohantavirus hantanense,Orthohantavirus hantanense,Orthohantavirus,Hantaviridae,,AYW16/2018,,"Hantaan orthohantavirus strain AYW16/2018 nucleocapsid protein (S) gene, complete cds",1290,partial,China,China,,Apodemus agrarius,,"Liu,S., Gong,T., Xiong,Y.","Jiangxi Provincial Center for Disease Control and Prevention, Disease Detection",China,,2018-05-14,2022-09-14,ssRNA(-)
MZ061873.1,GenBank,,,,,Orthohantavirus hantanense,Orthohantavirus hantanense,Orthohantavirus,Hantaviridae,,GAW107/2020,,"Hantaan orthohantavirus strain GAW107/2020 nucleocapsid protein (S) gene, complete cds",1290,partial,China,China,,Apodemus agrarius,,"Liu,S., Gong,T., Xiong,Y.","Jiangxi Provincial Center for Disease Control and Prevention, Disease Detection",China,,2020-11-10,2022-09-14,ssRNA(-)
MZ061874.1,GenBank,,,,,Orthohantavirus hantanense,Orthohantavirus hantanense,Orthohantavirus,Hantaviridae,,GAW49/2020,,"Hantaan orthohantavirus strain GAW49/2020 nucleocapsid protein (S) gene, complete cds",1290,partial,China,China,,Apodemus agrarius,,"Liu,S., Gong,T., Xiong,Y.","Jiangxi Provincial Center for Disease Control and Prevention, Disease Detection",China,,2020-04-23,2022-09-14,ssRNA(-)
MZ061875.1,GenBank,,,,,Orthohantavirus hantanense,Orthohantavirus hantanense,Orthohantavirus,Hantaviridae,,AYW35/2020,,"Hantaan orthohantavirus strain AYW35/2020 nucleocapsid protein (S) gene, complete cds",1290,partial,China,China,,Apodemus agrarius,,"Liu,S., Gong,T., Xiong,Y.","Jiangxi Provincial Center for Disease Control and Prevention, Disease Detection",China,,2020-05-12,2022-09-14,ssRNA(-)
MZ061876.1,GenBank,,,,,Orthohantavirus hantanense,Orthohantavirus hantanense,Orthohantavirus,Hantaviridae,,AYW71/2020,,"Hantaan orthohantavirus strain AYW71/2020 nucleocapsid protein (S) gene, complete cds",1290,partial,China,China,,Apodemus agrarius,,"Liu,S., Gong,T., Xiong,Y.","Jiangxi Provincial Center for Disease Control and Prevention, Disease Detection",China,,2020-11-03,2022-09-14,ssRNA(-)
MZ061877.1,GenBank,,,,,Orthohantavirus hantanense,Orthohantavirus hantanense,Orthohantavirus,Hantaviridae,,FXHu02/2018,,"Hantaan orthohantavirus strain FXHu02/2018 nucleocapsid protein (S) gene, complete cds",1290,partial,China,China,,Homo sapiens,,"Liu,S., Gong,T., Xiong,Y.","Jiangxi Provincial Center for Disease Control and Prevention, Disease Detection",China,,2018-12-25,2022-09-14,ssRNA(-)
MZ061878.1,GenBank,,,,,Orthohantavirus hantanense,Orthohantavirus hantanense,Orthohantavirus,Hantaviridae,,GAHu53/2019,,"Hantaan orthohantavirus strain GAHu53/2019 nucleocapsid protein (S) gene, complete cds",1290,partial,China,China,,Homo sapiens,,"Liu,S., Gong,T., Xiong,Y.","Jiangxi Provincial Center for Disease Control and Prevention, Disease Detection",China,,2019-08-06,2022-09-14,ssRNA(-)
MZ061879.1,GenBank,,,,,Orthohantavirus hantanense,Orthohantavirus hantanense,Orthohantavirus,Hantaviridae,,GAHu44/2019,,"Hantaan orthohantavirus strain GAHu44/2019 nucleocapsid protein (S) gene, complete cds",1290,partial,China,China,,Homo sapiens,,"Liu,S., Gong,T., Xiong,Y.","Jiangxi Provincial Center for Disease Control and Prevention, Disease Detection",China,,2019-05-31,2022-09-14,ssRNA(-)
MZ061880.1,GenBank,,,,,Orthohantavirus hantanense,Orthohantavirus hantanense,Orthohantavirus,Hantaviridae,,YFHu05/2019,,"Hantaan orthohantavirus strain YFHu05/2019 nucleocapsid protein (S) gene, complete cds",1290,partial,China,China,,Homo sapiens,,"Liu,S., Gong,T., Xiong,Y.","Jiangxi Provincial Center for Disease Control and Prevention, Disease Detection",China,,2019-12-30,2022-09-14,ssRNA(-)
MZ061881.1,GenBank,,,,,Orthohantavirus hantanense,Orthohantavirus hantanense,Orthohantavirus,Hantaviridae,,GAhu11/2020,,"Hantaan orthohantavirus strain GAhu11/2020 nucleocapsid protein (S) gene, complete cds",1290,partial,China,China,,Homo sapiens,,"Liu,S., Gong,T., Xiong,Y.","Jiangxi Provincial Center for Disease Control and Prevention, Disease Detection",China,,2020-06-09,2022-09-14,ssRNA(-)
MZ061882.1,GenBank,,,,,Orthohantavirus hantanense,Orthohantavirus hantanense,Orthohantavirus,Hantaviridae,,GAHu49/2020,,"Hantaan orthohantavirus strain GAHu49/2020 nucleocapsid protein (S) gene, complete cds",1290,partial,China,China,,Homo sapiens,,"Liu,S., Gong,T., Xiong,Y.","Jiangxi Provincial Center for Disease Control and Prevention, Disease Detection",China,,2020-11-16,2022-09-14,ssRNA(-)
MZ061883.1,GenBank,,,,,Orthohantavirus hantanense,Orthohantavirus hantanense,Orthohantavirus,Hantaviridae,,GAHu50/2020,,"Hantaan orthohantavirus strain GAHu50/2020 nucleocapsid protein (S) gene, complete cds",1290,partial,China,China,,Homo sapiens,,"Liu,S., Gong,T., Xiong,Y.","Jiangxi Provincial Center for Disease Control and Prevention, Disease Detection",China,,2020-11-16,2022-09-14,ssRNA(-)
MZ061884.1,GenBank,,,,,Orthohantavirus hantanense,Orthohantavirus hantanense,Orthohantavirus,Hantaviridae,,GAHu64/2020,,"Hantaan orthohantavirus strain GAHu64/2020 nucleocapsid protein (S) gene, complete cds",1290,partial,China,China,,Homo sapiens,,"Liu,S., Gong,T., Xiong,Y.","Jiangxi Provincial Center for Disease Control and Prevention, Disease Detection",China,,2020-12-08,2022-09-14,ssRNA(-)
MZ061885.1,GenBank,,,,,Orthohantavirus hantanense,Orthohantavirus hantanense,Orthohantavirus,Hantaviridae,,GAHu69/2020,,"Hantaan orthohantavirus strain GAHu69/2020 nucleocapsid protein (S) gene, complete cds",1290,partial,China,China,,Homo sapiens,,"Liu,S., Gong,T., Xiong,Y.","Jiangxi Provincial Center for Disease Control and Prevention, Disease Detection",China,,2020-12-15,2022-09-14,ssRNA(-)
MZ061886.1,GenBank,,,,,Orthohantavirus hantanense,Orthohantavirus hantanense,Orthohantavirus,Hantaviridae,,GAHu72/2020,,"Hantaan orthohantavirus strain GAHu72/2020 nucleocapsid protein (S) gene, complete cds",1290,partial,China,China,,Homo sapiens,,"Liu,S., Gong,T., Xiong,Y.","Jiangxi Provincial Center for Disease Control and Prevention, Disease Detection",China,,2020-12-23,2022-09-14,ssRNA(-)
MZ061887.1,GenBank,,,,,Orthohantavirus hantanense,Orthohantavirus hantanense,Orthohantavirus,Hantaviridae,,GAHu73/2020,,"Hantaan orthohantavirus strain GAHu73/2020 nucleocapsid protein (S) gene, complete cds",1290,partial,China,China,,Homo sapiens,,"Liu,S., Gong,T., Xiong,Y.","Jiangxi Provincial Center for Disease Control and Prevention, Disease Detection",China,,2020-12-24,2022-09-14,ssRNA(-)
MZ061888.1,GenBank,,,,,Orthohantavirus hantanense,Orthohantavirus hantanense,Orthohantavirus,Hantaviridae,,GAHu75/2020,,"Hantaan orthohantavirus strain GAHu75/2020 nucleocapsid protein (S) gene, complete cds",1290,partial,China,China,,Homo sapiens,,"Liu,S., Gong,T., Xiong,Y.","Jiangxi Provincial Center for Disease Control and Prevention, Disease Detection",China,,2020-12-31,2022-09-14,ssRNA(-)
MZ061889.1,GenBank,,,,,Orthohantavirus hantanense,Orthohantavirus hantanense,Orthohantavirus,Hantaviridae,,GAHu80/2021,,"Hantaan orthohantavirus strain GAHu80/2021 nucleocapsid protein (S) gene, complete cds",1290,partial,China,China,,Homo sapiens,,"Liu,S., Gong,T., Xiong,Y.","Jiangxi Provincial Center for Disease Control and Prevention, Disease Detection",China,,2021-01-15,2022-09-14,ssRNA(-)
MZ061890.1,GenBank,,,,,Orthohantavirus hantanense,Orthohantavirus hantanense,Orthohantavirus,Hantaviridae,,GAHu85/2021,,"Hantaan orthohantavirus strain GAHu85/2021 nucleocapsid protein (S) gene, complete cds",1290,partial,China,China,,Homo sapiens,,"Liu,S., Gong,T., Xiong,Y.","Jiangxi Provincial Center for Disease Control and Prevention, Disease Detection",China,,2021-01-31,2022-09-14,ssRNA(-)
MZ089549.1,GenBank,,,,,Orthohantavirus hantanense,Orthohantavirus hantanense,Orthohantavirus,Hantaviridae,,GAHu01/2017,,"Hantaan orthohantavirus strain GAHu01/2017 glycoprotein (M) gene, partial cds",352,partial,China,China,,Homo sapiens,,"Liu,S., Gong,T., Xiong,Y., Li,J., Xiao,F., Shi,Y., Xu,G., Wang,Q.","Jiangxi Provincial Center for Disease Control and Prevention, Disease Detection",China,,2017-07-01,2022-09-14,ssRNA(-)
MZ089550.1,GenBank,,,,,Orthohantavirus hantanense,Orthohantavirus hantanense,Orthohantavirus,Hantaviridae,,GAHu02/2017,,"Hantaan orthohantavirus strain GAHu02/2017 glycoprotein (M) gene, partial cds",352,partial,China,China,,Homo sapiens,,"Liu,S., Gong,T., Xiong,Y., Li,J., Xiao,F., Shi,Y., Xu,G., Wang,Q.","Jiangxi Provincial Center for Disease Control and Prevention, Disease Detection",China,,2017-07-01,2022-09-14,ssRNA(-)
