Accession,GenBank_RefSeq,Assembly,SRA_Accession,BioSample,BioProject,Organism_Name,Species,Genus,Family,Genotype,Isolate,Segment,GenBank_Title,Length,Nuc_Completeness,Geo_Location,Country,USA,Host,Tissue_Specimen_Source,Submitters,Organization,Org_location,Publications,Collection_Date,Release_Date,Molecule_type
KT971007.1,GenBank,set:002c623580ccef755800806cdfd0d8ac2c33cabb,,,,Orthohantavirus dobravaense,Orthohantavirus dobravaense,Orthohantavirus,Hantaviridae,,,,"Orthohantavirus dobravaense strain Llasen/Diber/22Af/2006/ALB nucleocapsid protein gene, partial cds",543,partial,Albania,Albania,,Apodemus flavicollis,,"Papa,A., Rogozi,E., Velo,E., Papadimitriou,E., Bino,S.","Aristotle University of Thessaloniki, A' Dept. of Microbiology",Greece,1,2006-07-17,2016-06-22,ssRNA(-)
KT971008.1,GenBank,set:4cdb8ff0c9ccedf6430cc54b651f61499db0c5bb,,,,Orthohantavirus dobravaense,Orthohantavirus dobravaense,Orthohantavirus,Hantaviridae,,,,"Orthohantavirus dobravaense strain Togez/Librazhd/54Af/2006/ALB nucleocapsid protein gene, partial cds",543,partial,Albania,Albania,,Apodemus flavicollis,,"Papa,A., Rogozi,E., Velo,E., Papadimitriou,E., Bino,S.","Aristotle University of Thessaloniki, A' Dept. of Microbiology",Greece,1,2006-08-24,2016-06-22,ssRNA(-)
KT971009.1,GenBank,set:e4ffe0b02b84410712d7483d9b53d39370ebc8cb,,,,Orthohantavirus dobravaense,Orthohantavirus dobravaense,Orthohantavirus,Hantaviridae,,,,"Orthohantavirus dobravaense strain Voskopoje/Korce/65Af/2006/ALB nucleocapsid protein gene, partial cds",543,partial,Albania,Albania,,Apodemus flavicollis,,"Papa,A., Rogozi,E., Velo,E., Papadimitriou,E., Bino,S.","Aristotle University of Thessaloniki, A' Dept. of Microbiology",Greece,1,2006-09-13,2016-06-22,ssRNA(-)
KT971010.1,GenBank,set:3950b1ba9186299a78bf98c5bf6aa0c84f80b622,,,,Orthohantavirus dobravaense,Orthohantavirus dobravaense,Orthohantavirus,Hantaviridae,,,,"Orthohantavirus dobravaense strain Llogora/Vlore/85Af/2006/ALB nucleocapsid protein gene, partial cds",543,partial,Albania,Albania,,Apodemus flavicollis,,"Papa,A., Rogozi,E., Velo,E., Papadimitriou,E., Bino,S.","Aristotle University of Thessaloniki, A' Dept. of Microbiology",Greece,1,2006-10-26,2016-06-22,ssRNA(-)
KT971011.1,GenBank,set:ad60f354a8bd80a6217bba58110b21182d1fc9de,,,,Orthohantavirus dobravaense,Orthohantavirus dobravaense,Orthohantavirus,Hantaviridae,,,,"Orthohantavirus dobravaense strain Diellas/Korce/201Af/2007/ALB nucleocapsid protein gene, partial cds",543,partial,Albania,Albania,,Apodemus flavicollis,,"Papa,A., Rogozi,E., Velo,E., Papadimitriou,E., Bino,S.","Aristotle University of Thessaloniki, A' Dept. of Microbiology",Greece,1,2007-09-26,2016-06-22,ssRNA(-)
KT971012.1,GenBank,set:a855a7d725f18cab63c2d905bce3d3c46ce620d6,,,,Orthohantavirus dobravaense,Orthohantavirus dobravaense,Orthohantavirus,Hantaviridae,,,,"Orthohantavirus dobravaense strain Dardhe/Korce/219Af/2007/ALB nucleocapsid protein gene, partial cds",543,partial,Albania,Albania,,Apodemus flavicollis,,"Papa,A., Rogozi,E., Velo,E., Papadimitriou,E., Bino,S.","Aristotle University of Thessaloniki, A' Dept. of Microbiology",Greece,1,2007-10-04,2016-06-22,ssRNA(-)
KT971013.1,GenBank,set:4a2219bf5daf3136f66241ed0158ff8fe8f9ddf0,,,,Orthohantavirus dobravaense,Orthohantavirus dobravaense,Orthohantavirus,Hantaviridae,,,,"Orthohantavirus dobravaense strain Mollas/Kolonje/243Af/2007/ALB nucleocapsid protein gene, partial cds",543,partial,Albania,Albania,,Apodemus flavicollis,,"Papa,A., Rogozi,E., Velo,E., Papadimitriou,E., Bino,S.","Aristotle University of Thessaloniki, A' Dept. of Microbiology",Greece,1,2007-10-16,2016-06-22,ssRNA(-)
KT971014.1,GenBank,set:d45a87c595ff2bbe2b037afa25351732e35536d4,,,,Orthohantavirus dobravaense,Orthohantavirus dobravaense,Orthohantavirus,Hantaviridae,,,,"Orthohantavirus dobravaense strain Geshtenjas/Pogradec/261Af/2007/ALB nucleocapsid protein gene, partial cds",543,partial,Albania,Albania,,Apodemus flavicollis,,"Papa,A., Rogozi,E., Velo,E., Papadimitriou,E., Bino,S.","Aristotle University of Thessaloniki, A' Dept. of Microbiology",Greece,1,2007-10-25,2016-06-22,ssRNA(-)
KT315623.1,GenBank,set:1721b59fd07b8f3bfae8c9e890cf2d929213b7a1,,,,Orthohantavirus dobravaense,Orthohantavirus dobravaense,Orthohantavirus,Hantaviridae,,Turkey/Igneada/09Af/2009,M,"Dobrava-Belgrade virus isolate Turkey/Igneada/09Af/2009 segment M glycoprotein precursor, gene, partial cds",834,partial,Turkey,Turkey,,Apodemus flavicollis,,"Polat,C., Sironen,T., Plyusnina,A., Karatas,A., Sozen,M., Matur,F., Vapalahti,O., Oktem,I.M., Plyusnin,A., Oktem,I.M.A.","Dokuz Eylul University, Faculty of Medicine, Department of Medical Microbiology",Turkey,1,2009-07-30,2015-12-16,ssRNA(-)
KT315624.1,GenBank,set:9c877024d071643eda02c4925722fd0894fa215e,,,,Orthohantavirus dobravaense,Orthohantavirus dobravaense,Orthohantavirus,Hantaviridae,,Turkey/Igneada/13Af/2009,M,"Dobrava-Belgrade virus isolate Turkey/Igneada/13Af/2009 segment M glycoprotein precursor, gene, partial cds",834,partial,Turkey,Turkey,,Apodemus flavicollis,,"Polat,C., Sironen,T., Plyusnina,A., Karatas,A., Sozen,M., Matur,F., Vapalahti,O., Oktem,I.M., Plyusnin,A., Oktem,I.M.A.","Dokuz Eylul University, Faculty of Medicine, Department of Medical Microbiology",Turkey,1,2009-07-30,2015-12-16,ssRNA(-)
KT315625.1,GenBank,set:da152eb565db697c288b8354777c58541be5e315,,,,Orthohantavirus dobravaense,Orthohantavirus dobravaense,Orthohantavirus,Hantaviridae,,Turkey/Igneada/57Af/2009,M,"Dobrava-Belgrade virus isolate Turkey/Igneada/57Af/2009 segment M glycoprotein precursor, gene, partial cds",834,partial,Turkey,Turkey,,Apodemus flavicollis,,"Polat,C., Sironen,T., Plyusnina,A., Karatas,A., Sozen,M., Matur,F., Vapalahti,O., Oktem,I.M., Plyusnin,A., Oktem,I.M.A.","Dokuz Eylul University, Faculty of Medicine, Department of Medical Microbiology",Turkey,1,2009-07-30,2015-12-16,ssRNA(-)
KT315626.1,GenBank,set:8000337f372a0e92a0fbcc6875f98bee77bbb121,,,,Orthohantavirus dobravaense,Orthohantavirus dobravaense,Orthohantavirus,Hantaviridae,,Turkey/Igneada/89Af/2009,M,"Dobrava-Belgrade virus isolate Turkey/Igneada/89Af/2009 segment M glycoprotein precursor, gene, partial cds",834,partial,Turkey,Turkey,,Apodemus flavicollis,,"Polat,C., Sironen,T., Plyusnina,A., Karatas,A., Sozen,M., Matur,F., Vapalahti,O., Oktem,I.M., Plyusnin,A., Oktem,I.M.A.","Dokuz Eylul University, Faculty of Medicine, Department of Medical Microbiology",Turkey,1,2009-07-30,2015-12-16,ssRNA(-)
KT315627.1,GenBank,set:fd24747a1f8548727601553b119792e06aecbdc3,,,,Orthohantavirus dobravaense,Orthohantavirus dobravaense,Orthohantavirus,Hantaviridae,,Turkey/Igneada/02Af/2009,L,"Dobrava-Belgrade virus isolate Turkey/Igneada/02Af/2009 segment L RNA-dependent RNA polymerase gene, partial cds",258,partial,Turkey,Turkey,,Apodemus flavicollis,,"Polat,C., Sironen,T., Plyusnina,A., Karatas,A., Sozen,M., Matur,F., Vapalahti,O., Oktem,I.M., Plyusnin,A., Oktem,I.M.A.","Dokuz Eylul University, Faculty of Medicine, Department of Medical Microbiology",Turkey,1,2009-07-30,2015-12-16,ssRNA(-)
KT315628.1,GenBank,set:14cf8470a4b65f4d22b37f6da2c1f70a987782f8,,,,Orthohantavirus dobravaense,Orthohantavirus dobravaense,Orthohantavirus,Hantaviridae,,Turkey/Igneada/03Af/2009,L,"Dobrava-Belgrade virus isolate Turkey/Igneada/03Af/2009 segment L RNA-dependent RNA polymerase gene, partial cds",258,partial,Turkey,Turkey,,Apodemus flavicollis,,"Polat,C., Sironen,T., Plyusnina,A., Karatas,A., Sozen,M., Matur,F., Vapalahti,O., Oktem,I.M., Plyusnin,A., Oktem,I.M.A.","Dokuz Eylul University, Faculty of Medicine, Department of Medical Microbiology",Turkey,1,2009-07-30,2015-12-16,ssRNA(-)
KT315629.1,GenBank,set:1721b59fd07b8f3bfae8c9e890cf2d929213b7a1,,,,Orthohantavirus dobravaense,Orthohantavirus dobravaense,Orthohantavirus,Hantaviridae,,Turkey/Igneada/09Af/2009,L,"Dobrava-Belgrade virus isolate Turkey/Igneada/09Af/2009 segment L RNA-dependent RNA polymerase gene, partial cds",258,partial,Turkey,Turkey,,Apodemus flavicollis,,"Polat,C., Sironen,T., Plyusnina,A., Karatas,A., Sozen,M., Matur,F., Vapalahti,O., Oktem,I.M., Plyusnin,A., Oktem,I.M.A.","Dokuz Eylul University, Faculty of Medicine, Department of Medical Microbiology",Turkey,1,2009-07-30,2015-12-16,ssRNA(-)
KT315630.1,GenBank,set:9c877024d071643eda02c4925722fd0894fa215e,,,,Orthohantavirus dobravaense,Orthohantavirus dobravaense,Orthohantavirus,Hantaviridae,,Turkey/Igneada/13Af/2009,L,"Dobrava-Belgrade virus isolate Turkey/Igneada/13Af/2009 segment L RNA-dependent RNA polymerase gene, partial cds",258,partial,Turkey,Turkey,,Apodemus flavicollis,,"Polat,C., Sironen,T., Plyusnina,A., Karatas,A., Sozen,M., Matur,F., Vapalahti,O., Oktem,I.M., Plyusnin,A., Oktem,I.M.A.","Dokuz Eylul University, Faculty of Medicine, Department of Medical Microbiology",Turkey,1,2009-07-30,2015-12-16,ssRNA(-)
KT315631.1,GenBank,set:0ec399d00af1ac4b94ef2df8c90326dbe6bd5cf6,,,,Orthohantavirus dobravaense,Orthohantavirus dobravaense,Orthohantavirus,Hantaviridae,,Turkey/Igneada/32Af/2009,L,"Dobrava-Belgrade virus isolate Turkey/Igneada/32Af/2009 segment L RNA-dependent RNA polymerase gene, partial cds",258,partial,Turkey,Turkey,,Apodemus flavicollis,,"Polat,C., Sironen,T., Plyusnina,A., Karatas,A., Sozen,M., Matur,F., Vapalahti,O., Oktem,I.M., Plyusnin,A., Oktem,I.M.A.","Dokuz Eylul University, Faculty of Medicine, Department of Medical Microbiology",Turkey,1,2009-07-30,2015-12-16,ssRNA(-)
KT315632.1,GenBank,set:da152eb565db697c288b8354777c58541be5e315,,,,Orthohantavirus dobravaense,Orthohantavirus dobravaense,Orthohantavirus,Hantaviridae,,Turkey/Igneada/57Af/2009,L,"Dobrava-Belgrade virus isolate Turkey/Igneada/57Af/2009 segment L RNA-dependent RNA polymerase gene, partial cds",258,partial,Turkey,Turkey,,Apodemus flavicollis,,"Polat,C., Sironen,T., Plyusnina,A., Karatas,A., Sozen,M., Matur,F., Vapalahti,O., Oktem,I.M., Plyusnin,A., Oktem,I.M.A.","Dokuz Eylul University, Faculty of Medicine, Department of Medical Microbiology",Turkey,1,2009-07-30,2015-12-16,ssRNA(-)
KT315633.1,GenBank,set:a92d756e1656cdd24cb10e6d7f7b4b26ed2e2437,,,,Orthohantavirus dobravaense,Orthohantavirus dobravaense,Orthohantavirus,Hantaviridae,,Turkey/Igneada/84Af/2009,L,"Dobrava-Belgrade virus isolate Turkey/Igneada/84Af/2009 segment L RNA-dependent RNA polymerase gene, partial cds",258,partial,Turkey,Turkey,,Apodemus flavicollis,,"Polat,C., Sironen,T., Plyusnina,A., Karatas,A., Sozen,M., Matur,F., Vapalahti,O., Oktem,I.M., Plyusnin,A., Oktem,I.M.A.","Dokuz Eylul University, Faculty of Medicine, Department of Medical Microbiology",Turkey,1,2009-07-30,2015-12-16,ssRNA(-)
KT315634.1,GenBank,set:8000337f372a0e92a0fbcc6875f98bee77bbb121,,,,Orthohantavirus dobravaense,Orthohantavirus dobravaense,Orthohantavirus,Hantaviridae,,Turkey/Igneada/89Af/2009,L,"Dobrava-Belgrade virus isolate Turkey/Igneada/89Af/2009 segment L RNA-dependent RNA polymerase gene, partial cds",258,partial,Turkey,Turkey,,Apodemus flavicollis,,"Polat,C., Sironen,T., Plyusnina,A., Karatas,A., Sozen,M., Matur,F., Vapalahti,O., Oktem,I.M., Plyusnin,A., Oktem,I.M.A.","Dokuz Eylul University, Faculty of Medicine, Department of Medical Microbiology",Turkey,1,2009-07-30,2015-12-16,ssRNA(-)
KT315635.1,GenBank,set:fd24747a1f8548727601553b119792e06aecbdc3,,,,Orthohantavirus dobravaense,Orthohantavirus dobravaense,Orthohantavirus,Hantaviridae,,Turkey/Igneada/02Af/2009,S,"Dobrava-Belgrade virus isolate Turkey/Igneada/02Af/2009 segment S nucleocapsid protein gene, partial cds",627,partial,Turkey,Turkey,,Apodemus flavicollis,,"Polat,C., Sironen,T., Plyusnina,A., Karatas,A., Sozen,M., Matur,F., Vapalahti,O., Oktem,I.M., Plyusnin,A., Oktem,I.M.A.","Dokuz Eylul University, Faculty of Medicine, Department of Medical Microbiology",Turkey,1,2009-07-30,2015-12-16,ssRNA(-)
KT315636.1,GenBank,set:14cf8470a4b65f4d22b37f6da2c1f70a987782f8,,,,Orthohantavirus dobravaense,Orthohantavirus dobravaense,Orthohantavirus,Hantaviridae,,Turkey/Igneada/03Af/2009,S,"Dobrava-Belgrade virus isolate Turkey/Igneada/03Af/2009 segment S nucleocapsid protein gene, partial cds",627,partial,Turkey,Turkey,,Apodemus flavicollis,,"Polat,C., Sironen,T., Plyusnina,A., Karatas,A., Sozen,M., Matur,F., Vapalahti,O., Oktem,I.M., Plyusnin,A., Oktem,I.M.A.","Dokuz Eylul University, Faculty of Medicine, Department of Medical Microbiology",Turkey,1,2009-07-30,2015-12-16,ssRNA(-)
KT315637.1,GenBank,set:1721b59fd07b8f3bfae8c9e890cf2d929213b7a1,,,,Orthohantavirus dobravaense,Orthohantavirus dobravaense,Orthohantavirus,Hantaviridae,,Turkey/Igneada/09Af/2009,S,"Dobrava-Belgrade virus isolate Turkey/Igneada/09Af/2009 segment S nucleocapsid protein gene, partial cds",627,partial,Turkey,Turkey,,Apodemus flavicollis,,"Polat,C., Sironen,T., Plyusnina,A., Karatas,A., Sozen,M., Matur,F., Vapalahti,O., Oktem,I.M., Plyusnin,A., Oktem,I.M.A.","Dokuz Eylul University, Faculty of Medicine, Department of Medical Microbiology",Turkey,1,2009-07-30,2015-12-16,ssRNA(-)
KT315638.1,GenBank,set:9c877024d071643eda02c4925722fd0894fa215e,,,,Orthohantavirus dobravaense,Orthohantavirus dobravaense,Orthohantavirus,Hantaviridae,,Turkey/Igneada/13Af/2009,S,"Dobrava-Belgrade virus isolate Turkey/Igneada/13Af/2009 segment S nucleocapsid protein gene, partial cds",627,partial,Turkey,Turkey,,Apodemus flavicollis,,"Polat,C., Sironen,T., Plyusnina,A., Karatas,A., Sozen,M., Matur,F., Vapalahti,O., Oktem,I.M., Plyusnin,A., Oktem,I.M.A.","Dokuz Eylul University, Faculty of Medicine, Department of Medical Microbiology",Turkey,1,2009-07-30,2015-12-16,ssRNA(-)
KT315639.1,GenBank,set:0ec399d00af1ac4b94ef2df8c90326dbe6bd5cf6,,,,Orthohantavirus dobravaense,Orthohantavirus dobravaense,Orthohantavirus,Hantaviridae,,Turkey/Igneada/32Af/2009,S,"Dobrava-Belgrade virus isolate Turkey/Igneada/32Af/2009 segment S nucleocapsid protein gene, partial cds",627,partial,Turkey,Turkey,,Apodemus flavicollis,,"Polat,C., Sironen,T., Plyusnina,A., Karatas,A., Sozen,M., Matur,F., Vapalahti,O., Oktem,I.M., Plyusnin,A., Oktem,I.M.A.","Dokuz Eylul University, Faculty of Medicine, Department of Medical Microbiology",Turkey,1,2009-07-30,2015-12-16,ssRNA(-)
KT315640.1,GenBank,set:da152eb565db697c288b8354777c58541be5e315,,,,Orthohantavirus dobravaense,Orthohantavirus dobravaense,Orthohantavirus,Hantaviridae,,Turkey/Igneada/57Af/2009,S,"Dobrava-Belgrade virus isolate Turkey/Igneada/57Af/2009 segment S nucleocapsid protein gene, partial cds",627,partial,Turkey,Turkey,,Apodemus flavicollis,,"Polat,C., Sironen,T., Plyusnina,A., Karatas,A., Sozen,M., Matur,F., Vapalahti,O., Oktem,I.M., Plyusnin,A., Oktem,I.M.A.","Dokuz Eylul University, Faculty of Medicine, Department of Medical Microbiology",Turkey,1,2009-07-30,2015-12-16,ssRNA(-)
KT315641.1,GenBank,set:a92d756e1656cdd24cb10e6d7f7b4b26ed2e2437,,,,Orthohantavirus dobravaense,Orthohantavirus dobravaense,Orthohantavirus,Hantaviridae,,Turkey/Igneada/84Af/2009,S,"Dobrava-Belgrade virus isolate Turkey/Igneada/84Af/2009 segment S nucleocapsid protein gene, partial cds",627,partial,Turkey,Turkey,,Apodemus flavicollis,,"Polat,C., Sironen,T., Plyusnina,A., Karatas,A., Sozen,M., Matur,F., Vapalahti,O., Oktem,I.M., Plyusnin,A., Oktem,I.M.A.","Dokuz Eylul University, Faculty of Medicine, Department of Medical Microbiology",Turkey,1,2009-07-30,2015-12-16,ssRNA(-)
KT315642.1,GenBank,set:8000337f372a0e92a0fbcc6875f98bee77bbb121,,,,Orthohantavirus dobravaense,Orthohantavirus dobravaense,Orthohantavirus,Hantaviridae,,Turkey/Igneada/89Af/2009,S,"Dobrava-Belgrade virus isolate Turkey/Igneada/89Af/2009 segment S nucleocapsid protein gene, partial cds",627,partial,Turkey,Turkey,,Apodemus flavicollis,,"Polat,C., Sironen,T., Plyusnina,A., Karatas,A., Sozen,M., Matur,F., Vapalahti,O., Oktem,I.M., Plyusnin,A., Oktem,I.M.A.","Dokuz Eylul University, Faculty of Medicine, Department of Medical Microbiology",Turkey,1,2009-07-30,2015-12-16,ssRNA(-)
KP878308.1,GenBank,set:5d2a2a065f058117f8e30e0f67108929a3ded9ac,,,,Orthohantavirus dobravaense,Orthohantavirus dobravaense,Orthohantavirus,Hantaviridae,Sochi,,L,"Orthohantavirus dobravaense strain 10636/Ap segment L RNA-dependent RNA polymerase gene, partial cds",347,partial,Russia,Russia,,Apodemus ponticus,,"Kruger,D.H., Tkachenko,E.A., Morozov,V.G., Yunicheva,Y.V., Pilikova,O.M., Malkin,G., Ishmukhametov,A.A., Heinemann,P., Witkowski,P.T., Klempa,B., Dzagurova,T.K.","Charite School of Medicine, Institute of Medical Virology",Germany,1,2013,2015-11-28,ssRNA(-)
KP878309.1,GenBank,set:8abd4c6348c44beb72a121f0b8655c90b22cb159,,,,Orthohantavirus dobravaense,Orthohantavirus dobravaense,Orthohantavirus,Hantaviridae,Sochi,,L,"Orthohantavirus dobravaense strain 10645/Ap segment L RNA-dependent RNA polymerase gene, partial cds",347,partial,Russia,Russia,,Apodemus ponticus,,"Kruger,D.H., Tkachenko,E.A., Morozov,V.G., Yunicheva,Y.V., Pilikova,O.M., Malkin,G., Ishmukhametov,A.A., Heinemann,P., Witkowski,P.T., Klempa,B., Dzagurova,T.K.","Charite School of Medicine, Institute of Medical Virology",Germany,1,2013,2015-11-28,ssRNA(-)
KP878310.1,GenBank,set:0e6f62067884c2846247ac299714537f6edbfcbf,,,,Orthohantavirus dobravaense,Orthohantavirus dobravaense,Orthohantavirus,Hantaviridae,Sochi,,L,"Orthohantavirus dobravaense strain 10752/hu segment L RNA-dependent RNA polymerase gene, partial cds",347,partial,Russia,Russia,,Homo sapiens,,"Kruger,D.H., Tkachenko,E.A., Morozov,V.G., Yunicheva,Y.V., Pilikova,O.M., Malkin,G., Ishmukhametov,A.A., Heinemann,P., Witkowski,P.T., Klempa,B., Dzagurova,T.K.","Charite School of Medicine, Institute of Medical Virology",Germany,1,2013,2015-11-28,ssRNA(-)
KP878311.1,GenBank,set:5d2a2a065f058117f8e30e0f67108929a3ded9ac,,,,Orthohantavirus dobravaense,Orthohantavirus dobravaense,Orthohantavirus,Hantaviridae,Sochi,,S,"Orthohantavirus dobravaense strain 10636/Ap segment S nucleocapsid protein gene, complete cds",1300,complete,Russia,Russia,,Apodemus ponticus,,"Kruger,D.H., Tkachenko,E.A., Morozov,V.G., Yunicheva,Y.V., Pilikova,O.M., Malkin,G., Ishmukhametov,A.A., Heinemann,P., Witkowski,P.T., Klempa,B., Dzagurova,T.K.","Charite School of Medicine, Institute of Medical Virology",Germany,1,2013,2015-11-28,ssRNA(-)
KP878312.1,GenBank,set:8abd4c6348c44beb72a121f0b8655c90b22cb159,,,,Orthohantavirus dobravaense,Orthohantavirus dobravaense,Orthohantavirus,Hantaviridae,Sochi,,S,"Orthohantavirus dobravaense strain 10645/Ap segment S nucleocapsid protein gene, complete cds",1300,complete,Russia,Russia,,Apodemus ponticus,,"Kruger,D.H., Tkachenko,E.A., Morozov,V.G., Yunicheva,Y.V., Pilikova,O.M., Malkin,G., Ishmukhametov,A.A., Heinemann,P., Witkowski,P.T., Klempa,B., Dzagurova,T.K.","Charite School of Medicine, Institute of Medical Virology",Germany,1,2013,2015-11-28,ssRNA(-)
KP878313.1,GenBank,set:0e6f62067884c2846247ac299714537f6edbfcbf,,,,Orthohantavirus dobravaense,Orthohantavirus dobravaense,Orthohantavirus,Hantaviridae,Sochi,,S,"Orthohantavirus dobravaense strain 10752/hu segment S nucleocapsid protein gene, complete cds",1300,complete,Russia,Russia,,Homo sapiens,,"Kruger,D.H., Tkachenko,E.A., Morozov,V.G., Yunicheva,Y.V., Pilikova,O.M., Malkin,G., Ishmukhametov,A.A., Heinemann,P., Witkowski,P.T., Klempa,B., Dzagurova,T.K.","Charite School of Medicine, Institute of Medical Virology",Germany,1,2013,2015-11-28,ssRNA(-)
KT885041.1,GenBank,set:1e12a3d2dba900de022b232f26aa43d90c18e211,,,,Orthohantavirus dobravaense,Orthohantavirus dobravaense,Orthohantavirus,Hantaviridae,,,L,"Orthohantavirus dobravaense strain Stamforrad/POR segment L, complete sequence",6456,complete,Slovenia,Slovenia,,Apodemus flavicollis,,"Miles,R.W., Lewandowski,K.","Public Health England, Diagnostic Support",,,2015,2015-10-13,ssRNA(-)
KT885042.1,GenBank,set:1e12a3d2dba900de022b232f26aa43d90c18e211,,,,Orthohantavirus dobravaense,Orthohantavirus dobravaense,Orthohantavirus,Hantaviridae,,,M,"Orthohantavirus dobravaense strain Stamforrad/POR segment M, complete sequence",3647,complete,Slovenia,Slovenia,,Apodemus flavicollis,,"Miles,R.W., Lewandowski,K.","Public Health England, Diagnostic Support",,,2015,2015-10-13,ssRNA(-)
KT885043.1,GenBank,set:1e12a3d2dba900de022b232f26aa43d90c18e211,,,,Orthohantavirus dobravaense,Orthohantavirus dobravaense,Orthohantavirus,Hantaviridae,,,S,"Orthohantavirus dobravaense strain Stamforrad/POR segment S, complete sequence",1672,complete,Slovenia,Slovenia,,Apodemus flavicollis,,"Miles,R.W., Lewandowski,K.","Public Health England, Diagnostic Support",,,2015,2015-10-13,ssRNA(-)
KM192207.1,GenBank,set:1340c0b4347edebecc55d2a656bbdfa9c3215019,,,,Orthohantavirus dobravaense,Orthohantavirus dobravaense,Orthohantavirus,Hantaviridae,Sochi,,L,"Dobrava-Belgrade virus strain Sochi/6882/hu RNA-dependent RNA polymerase gene, partial cds",347,partial,Russia,Russia,,Homo sapiens,,"Kruger,D.H., Tkachenko,E.A., Morozov,V.G., Yunicheva,Y.V., Pilikova,O.M., Malkin,G., Ishmukhametov,A.A., Heinemann,P., Witkowski,P.T., Klempa,B., Dzagurova,T.K.","Charite Medical School, Berlin, Germany, Institute of Virology, Helmut-Ruska-Haus",Germany,1,2009,2015-08-14,ssRNA(-)
KM192208.1,GenBank,set:0b04501f2cea75d528fe5ab1785edf67ca77e4cb,,,,Orthohantavirus dobravaense,Orthohantavirus dobravaense,Orthohantavirus,Hantaviridae,Sochi,,L,"Dobrava-Belgrade virus strain Ap/Sochi/79 RNA-dependent RNA polymerase gene, partial cds",347,partial,Russia,Russia,,Apodemus ponticus,,"Kruger,D.H., Tkachenko,E.A., Morozov,V.G., Yunicheva,Y.V., Pilikova,O.M., Malkin,G., Ishmukhametov,A.A., Heinemann,P., Witkowski,P.T., Klempa,B., Dzagurova,T.K.","Charite Medical School, Berlin, Germany, Institute of Virology, Helmut-Ruska-Haus",Germany,1,2008,2015-08-14,ssRNA(-)
KM192209.1,GenBank,set:28c253a3f8c3399644749dc11e5cf8c2fbd3ddcc,,,,Orthohantavirus dobravaense,Orthohantavirus dobravaense,Orthohantavirus,Hantaviridae,Sochi,,L,"Dobrava-Belgrade virus strain Ap/Sochi/43 RNA-dependent RNA polymerase gene, partial cds",347,partial,Russia,Russia,,Apodemus ponticus,,"Kruger,D.H., Tkachenko,E.A., Morozov,V.G., Yunicheva,Y.V., Pilikova,O.M., Malkin,G., Ishmukhametov,A.A., Heinemann,P., Witkowski,P.T., Klempa,B., Dzagurova,T.K.","Charite Medical School, Berlin, Germany, Institute of Virology, Helmut-Ruska-Haus",Germany,1,2008,2015-08-14,ssRNA(-)
KF776557.1,GenBank,set:f101cb6c4ed4c2d0be7dc2025e9c45b90f1ae723,,,,Dobrava-Belgrade orthohantavirus,Orthohantavirus dobravaense,Orthohantavirus,Hantaviridae,,HtSi_353_p2012,L,"Dobrava-Belgrade virus isolate HtSi_353_p2012 RNA-dependent RNA polymerase gene, partial cds",234,partial,Slovenia,Slovenia,,Homo sapiens,,"Korva,M., Knap,N., Rus,K.R., Fajs,L., Grubelnik,G., Bremec,M., Knapic,T., Trilar,T., Zupanc,T.A., Avsic-Zupanc,T.","University of Ljubljana, Faculty of Medicine, Institute of Microbiology and Immunology",Slovenia,1,2013-10-01,2014-10-01,ssRNA(-)
KF776564.1,GenBank,set:9cd85a74c77299875504d89109d2c4fdb81d5d09,,,,Dobrava-Belgrade orthohantavirus,Orthohantavirus dobravaense,Orthohantavirus,Hantaviridae,,HtSi_397_p2012,L,"Dobrava-Belgrade virus isolate HtSi_397_p2012 RNA-dependent RNA polymerase gene, partial cds",234,partial,Slovenia,Slovenia,,Homo sapiens,,"Korva,M., Knap,N., Rus,K.R., Fajs,L., Grubelnik,G., Bremec,M., Knapic,T., Trilar,T., Zupanc,T.A., Avsic-Zupanc,T.","University of Ljubljana, Faculty of Medicine, Institute of Microbiology and Immunology",Slovenia,1,2013-10-01,2014-10-01,ssRNA(-)
KF776578.1,GenBank,set:c4dffea9d8e1a0b650bc69a56da4373537303c74,,,,Dobrava-Belgrade orthohantavirus,Orthohantavirus dobravaense,Orthohantavirus,Hantaviridae,,HtSi_465_p2012,L,"Dobrava-Belgrade virus isolate HtSi_465_p2012 RNA-dependent RNA polymerase gene, partial cds",234,partial,Slovenia,Slovenia,,Homo sapiens,,"Korva,M., Knap,N., Rus,K.R., Fajs,L., Grubelnik,G., Bremec,M., Knapic,T., Trilar,T., Zupanc,T.A., Avsic-Zupanc,T.","University of Ljubljana, Faculty of Medicine, Institute of Microbiology and Immunology",Slovenia,1,2013-10-01,2014-10-01,ssRNA(-)
KF776581.1,GenBank,set:da171c4f513f097a7c8e39516a5832a0dd67df28,,,,Dobrava-Belgrade orthohantavirus,Orthohantavirus dobravaense,Orthohantavirus,Hantaviridae,,HtSi_492_p2012,L,"Dobrava-Belgrade virus isolate HtSi_492_p2012 RNA-dependent RNA polymerase gene, partial cds",234,partial,Slovenia,Slovenia,,Homo sapiens,,"Korva,M., Knap,N., Rus,K.R., Fajs,L., Grubelnik,G., Bremec,M., Knapic,T., Trilar,T., Zupanc,T.A., Avsic-Zupanc,T.","University of Ljubljana, Faculty of Medicine, Institute of Microbiology and Immunology",Slovenia,1,2013-10-01,2014-10-01,ssRNA(-)
